"digits","algorithm","n_neighbors","metric","sizes","digit","precision","recall","f1_score","support"
1,"brute",5,"chebyshev",5,1,"     1.00","    0.44","     0.61",95
2,"brute",5,"chebyshev",5,2,"     0.00","    0.00","     0.00",111
3,"brute",5,"chebyshev",5,3,"     0.00","    0.00","     0.00",103
4,"brute",5,"chebyshev",5,4,"     1.00","    0.01","     0.02",95
5,"brute",5,"chebyshev",5,5,"     0.43","    0.03","     0.06",97
6,"brute",5,"chebyshev",5,6,"     1.00","    0.05","     0.09",106
7,"brute",5,"chebyshev",5,7,"     1.00","    0.04","     0.08",97
8,"brute",5,"chebyshev",5,8,"     0.00","    0.00","     0.00",87
9,"brute",5,"chebyshev",5,9,"     0.12","    0.96","     0.21",112
0,"auto",10,"chebyshev",5,0,"     0.13","    0.38","     0.20",97
1,"auto",10,"chebyshev",5,1,"     0.68","    0.48","     0.56",95
2,"auto",10,"chebyshev",5,2,"     0.00","    0.00","     0.00",111
3,"auto",10,"chebyshev",5,3,"     0.12","    0.29","     0.17",103
4,"auto",10,"chebyshev",5,4,"     0.27","    0.72","     0.39",95
5,"auto",10,"chebyshev",5,5,"     0.02","    0.03","     0.03",97
6,"auto",10,"chebyshev",5,6,"     0.00","    0.00","     0.00",106
7,"auto",10,"chebyshev",5,7,"     1.00","    0.04","     0.08",97
8,"auto",10,"chebyshev",5,8,"     0.00","    0.00","     0.00",87
9,"auto",10,"chebyshev",5,9,"     1.00","    0.01","     0.02",112
0,"ball_tree",10,"chebyshev",5,0,"     0.13","    0.38","     0.20",97
1,"ball_tree",10,"chebyshev",5,1,"     0.68","    0.48","     0.56",95
2,"ball_tree",10,"chebyshev",5,2,"     0.00","    0.00","     0.00",111
3,"ball_tree",10,"chebyshev",5,3,"     0.12","    0.29","     0.17",103
4,"ball_tree",10,"chebyshev",5,4,"     0.27","    0.72","     0.39",95
5,"ball_tree",10,"chebyshev",5,5,"     0.02","    0.03","     0.03",97
6,"ball_tree",10,"chebyshev",5,6,"     0.00","    0.00","     0.00",106
7,"ball_tree",10,"chebyshev",5,7,"     1.00","    0.04","     0.08",97
8,"ball_tree",10,"chebyshev",5,8,"     0.00","    0.00","     0.00",87
9,"ball_tree",10,"chebyshev",5,9,"     1.00","    0.01","     0.02",112
0,"kd_tree",10,"chebyshev",5,0,"     0.13","    0.38","     0.20",97
1,"kd_tree",10,"chebyshev",5,1,"     0.68","    0.48","     0.56",95
2,"kd_tree",10,"chebyshev",5,2,"     0.00","    0.00","     0.00",111
3,"kd_tree",10,"chebyshev",5,3,"     0.12","    0.29","     0.17",103
4,"kd_tree",10,"chebyshev",5,4,"     0.27","    0.72","     0.39",95
5,"kd_tree",10,"chebyshev",5,5,"     0.02","    0.03","     0.03",97
6,"kd_tree",10,"chebyshev",5,6,"     0.00","    0.00","     0.00",106
7,"kd_tree",10,"chebyshev",5,7,"     1.00","    0.04","     0.08",97
8,"kd_tree",10,"chebyshev",5,8,"     0.00","    0.00","     0.00",87
9,"kd_tree",10,"chebyshev",5,9,"     1.00","    0.01","     0.02",112
0,"brute",10,"chebyshev",5,0,"     1.00","    0.05","     0.10",97
1,"brute",10,"chebyshev",5,1,"     1.00","    0.42","     0.59",95
2,"brute",10,"chebyshev",5,2,"     0.00","    0.00","     0.00",111
3,"brute",10,"chebyshev",5,3,"     0.11","    1.00","     0.20",103
4,"brute",10,"chebyshev",5,4,"     0.00","    0.00","     0.00",95
5,"brute",10,"chebyshev",5,5,"     0.30","    0.03","     0.06",97
6,"brute",10,"chebyshev",5,6,"     1.00","    0.02","     0.04",106
7,"brute",10,"chebyshev",5,7,"     1.00","    0.06","     0.12",97
8,"brute",10,"chebyshev",5,8,"     0.00","    0.00","     0.00",87
9,"brute",10,"chebyshev",5,9,"     1.00","    0.01","     0.02",112
0,"auto",20,"chebyshev",5,0,"     1.00","    0.11","     0.20",97
1,"auto",20,"chebyshev",5,1,"     0.24","    0.45","     0.32",95
2,"auto",20,"chebyshev",5,2,"     0.00","    0.00","     0.00",111
3,"auto",20,"chebyshev",5,3,"     0.12","    0.30","     0.17",103
4,"auto",20,"chebyshev",5,4,"     0.41","    0.57","     0.47",95
5,"auto",20,"chebyshev",5,5,"     1.00","    0.01","     0.02",97
6,"auto",20,"chebyshev",5,6,"     0.00","    0.00","     0.00",106
7,"auto",20,"chebyshev",5,7,"     0.34","    0.49","     0.41",97
8,"auto",20,"chebyshev",5,8,"     0.00","    0.00","     0.00",87
