"digits","algorithm","n_neighbors","metric","sizes","digit","precision","recall","f1_score","support"
8,"ball_tree",10,"chebyshev",10,8,"     0.00","    0.00","     0.00",87
9,"ball_tree",10,"chebyshev",10,9,"     0.00","    0.00","     0.00",112
0,"kd_tree",10,"chebyshev",10,0,"     0.00","    0.00","     0.00",97
1,"kd_tree",10,"chebyshev",10,1,"     0.03","    0.07","     0.04",95
2,"kd_tree",10,"chebyshev",10,2,"     0.00","    0.00","     0.00",111
3,"kd_tree",10,"chebyshev",10,3,"     0.12","    0.25","     0.17",103
4,"kd_tree",10,"chebyshev",10,4,"     0.14","    0.75","     0.23",95
5,"kd_tree",10,"chebyshev",10,5,"     0.02","    0.01","     0.01",97
6,"kd_tree",10,"chebyshev",10,6,"     0.00","    0.00","     0.00",106
7,"kd_tree",10,"chebyshev",10,7,"     0.00","    0.00","     0.00",97
8,"kd_tree",10,"chebyshev",10,8,"     0.00","    0.00","     0.00",87
9,"kd_tree",10,"chebyshev",10,9,"     0.00","    0.00","     0.00",112
0,"brute",10,"chebyshev",10,0,"     0.00","    0.00","     0.00",97
1,"brute",10,"chebyshev",10,1,"     0.00","    0.00","     0.00",95
2,"brute",10,"chebyshev",10,2,"     0.00","    0.00","     0.00",111
3,"brute",10,"chebyshev",10,3,"     0.10","    1.00","     0.19",103
4,"brute",10,"chebyshev",10,4,"     0.00","    0.00","     0.00",95
5,"brute",10,"chebyshev",10,5,"     0.00","    0.00","     0.00",97
6,"brute",10,"chebyshev",10,6,"     0.00","    0.00","     0.00",106
7,"brute",10,"chebyshev",10,7,"     0.00","    0.00","     0.00",97
8,"brute",10,"chebyshev",10,8,"     0.00","    0.00","     0.00",87
9,"brute",10,"chebyshev",10,9,"     0.00","    0.00","     0.00",112
0,"auto",20,"chebyshev",10,0,"     0.00","    0.00","     0.00",97
1,"auto",20,"chebyshev",10,1,"     1.00","    0.01","     0.02",95
2,"auto",20,"chebyshev",10,2,"     0.00","    0.00","     0.00",111
3,"auto",20,"chebyshev",10,3,"     0.12","    0.25","     0.17",103
4,"auto",20,"chebyshev",10,4,"     0.14","    0.75","     0.23",95
5,"auto",20,"chebyshev",10,5,"     0.02","    0.01","     0.01",97
6,"auto",20,"chebyshev",10,6,"     0.05","    0.08","     0.06",106
7,"auto",20,"chebyshev",10,7,"     0.25","    0.18","     0.20",97
8,"auto",20,"chebyshev",10,8,"     0.00","    0.00","     0.00",87
9,"auto",20,"chebyshev",10,9,"     0.00","    0.00","     0.00",112
0,"ball_tree",20,"chebyshev",10,0,"     0.00","    0.00","     0.00",97
1,"ball_tree",20,"chebyshev",10,1,"     1.00","    0.01","     0.02",95
2,"ball_tree",20,"chebyshev",10,2,"     0.00","    0.00","     0.00",111
3,"ball_tree",20,"chebyshev",10,3,"     0.12","    0.25","     0.17",103
4,"ball_tree",20,"chebyshev",10,4,"     0.14","    0.75","     0.23",95
5,"ball_tree",20,"chebyshev",10,5,"     0.02","    0.01","     0.01",97
6,"ball_tree",20,"chebyshev",10,6,"     0.05","    0.08","     0.06",106
7,"ball_tree",20,"chebyshev",10,7,"     0.25","    0.18","     0.20",97
8,"ball_tree",20,"chebyshev",10,8,"     0.00","    0.00","     0.00",87
9,"ball_tree",20,"chebyshev",10,9,"     0.00","    0.00","     0.00",112
0,"kd_tree",20,"chebyshev",10,0,"     0.00","    0.00","     0.00",97
1,"kd_tree",20,"chebyshev",10,1,"     1.00","    0.01","     0.02",95
2,"kd_tree",20,"chebyshev",10,2,"     0.00","    0.00","     0.00",111
3,"kd_tree",20,"chebyshev",10,3,"     0.12","    0.25","     0.17",103
4,"kd_tree",20,"chebyshev",10,4,"     0.14","    0.75","     0.23",95
5,"kd_tree",20,"chebyshev",10,5,"     0.02","    0.01","     0.01",97
6,"kd_tree",20,"chebyshev",10,6,"     0.05","    0.08","     0.06",106
7,"kd_tree",20,"chebyshev",10,7,"     0.25","    0.18","     0.20",97
8,"kd_tree",20,"chebyshev",10,8,"     0.00","    0.00","     0.00",87
9,"kd_tree",20,"chebyshev",10,9,"     0.00","    0.00","     0.00",112
0,"brute",20,"chebyshev",10,0,"     0.00","    0.00","     0.00",97
1,"brute",20,"chebyshev",10,1,"     0.00","    0.00","     0.00",95
2,"brute",20,"chebyshev",10,2,"     0.00","    0.00","     0.00",111
3,"brute",20,"chebyshev",10,3,"     0.00","    0.00","     0.00",103
4,"brute",20,"chebyshev",10,4,"     0.00","    0.00","     0.00",95
5,"brute",20,"chebyshev",10,5,"     0.00","    0.00","     0.00",97
6,"brute",20,"chebyshev",10,6,"     0.00","    0.00","     0.00",106
7,"brute",20,"chebyshev",10,7,"     0.00","    0.00","     0.00",97
8,"brute",20,"chebyshev",10,8,"     0.09","    1.00","     0.16",87
9,"brute",20,"chebyshev",10,9,"     0.00","    0.00","     0.00",112
0,"auto",50,"chebyshev",10,0,"     0.00","    0.00","     0.00",97
1,"auto",50,"chebyshev",10,1,"     0.01","    0.02","     0.02",95
2,"auto",50,"chebyshev",10,2,"     0.12","    0.21","     0.15",111
3,"auto",50,"chebyshev",10,3,"     0.15","    0.13","     0.14",103
4,"auto",50,"chebyshev",10,4,"     0.14","    0.75","     0.23",95
5,"auto",50,"chebyshev",10,5,"     0.00","    0.00","     0.00",97
6,"auto",50,"chebyshev",10,6,"     0.00","    0.00","     0.00",106
7,"auto",50,"chebyshev",10,7,"     0.45","    0.20","     0.27",97
8,"auto",50,"chebyshev",10,8,"     0.00","    0.00","     0.00",87
9,"auto",50,"chebyshev",10,9,"     0.00","    0.00","     0.00",112
0,"ball_tree",50,"chebyshev",10,0,"     0.00","    0.00","     0.00",97
1,"ball_tree",50,"chebyshev",10,1,"     0.01","    0.02","     0.02",95
2,"ball_tree",50,"chebyshev",10,2,"     0.12","    0.21","     0.15",111
3,"ball_tree",50,"chebyshev",10,3,"     0.15","    0.13","     0.14",103
4,"ball_tree",50,"chebyshev",10,4,"     0.14","    0.75","     0.23",95
5,"ball_tree",50,"chebyshev",10,5,"     0.00","    0.00","     0.00",97
6,"ball_tree",50,"chebyshev",10,6,"     0.00","    0.00","     0.00",106
7,"ball_tree",50,"chebyshev",10,7,"     0.45","    0.20","     0.27",97
8,"ball_tree",50,"chebyshev",10,8,"     0.00","    0.00","     0.00",87
9,"ball_tree",50,"chebyshev",10,9,"     0.00","    0.00","     0.00",112
0,"kd_tree",50,"chebyshev",10,0,"     0.00","    0.00","     0.00",97
1,"kd_tree",50,"chebyshev",10,1,"     0.01","    0.02","     0.02",95
2,"kd_tree",50,"chebyshev",10,2,"     0.12","    0.21","     0.15",111
3,"kd_tree",50,"chebyshev",10,3,"     0.15","    0.13","     0.14",103
4,"kd_tree",50,"chebyshev",10,4,"     0.14","    0.75","     0.23",95
5,"kd_tree",50,"chebyshev",10,5,"     0.00","    0.00","     0.00",97
6,"kd_tree",50,"chebyshev",10,6,"     0.00","    0.00","     0.00",106
7,"kd_tree",50,"chebyshev",10,7,"     0.45","    0.20","     0.27",97
8,"kd_tree",50,"chebyshev",10,8,"     0.00","    0.00","     0.00",87
9,"kd_tree",50,"chebyshev",10,9,"     0.00","    0.00","     0.00",112
0,"brute",50,"chebyshev",10,0,"     0.00","    0.00","     0.00",97
1,"brute",50,"chebyshev",10,1,"     0.00","    0.00","     0.00",95
2,"brute",50,"chebyshev",10,2,"     0.00","    0.00","     0.00",111
3,"brute",50,"chebyshev",10,3,"     0.00","    0.00","     0.00",103
4,"brute",50,"chebyshev",10,4,"     0.00","    0.00","     0.00",95
5,"brute",50,"chebyshev",10,5,"     0.00","    0.00","     0.00",97
6,"brute",50,"chebyshev",10,6,"     0.00","    0.00","     0.00",106
7,"brute",50,"chebyshev",10,7,"     0.00","    0.00","     0.00",97
8,"brute",50,"chebyshev",10,8,"     0.09","    1.00","     0.16",87
9,"brute",50,"chebyshev",10,9,"     0.00","    0.00","     0.00",112
0,"auto",1,"euclidean",10,0,"     0.97","    0.97","     0.97",97
1,"auto",1,"euclidean",10,1,"     0.78","    0.99","     0.87",95
2,"auto",1,"euclidean",10,2,"     0.99","    0.88","     0.93",111
3,"auto",1,"euclidean",10,3,"     0.87","    0.92","     0.90",103
4,"auto",1,"euclidean",10,4,"     0.95","    0.84","     0.89",95
5,"auto",1,"euclidean",10,5,"     0.93","    0.92","     0.92",97
6,"auto",1,"euclidean",10,6,"     0.97","    0.92","     0.95",106
7,"auto",1,"euclidean",10,7,"     0.81","    0.91","     0.85",97
8,"auto",1,"euclidean",10,8,"     0.93","    0.78","     0.85",87
9,"auto",1,"euclidean",10,9,"     0.86","    0.86","     0.86",112
0,"ball_tree",1,"euclidean",10,0,"     0.97","    0.97","     0.97",97
1,"ball_tree",1,"euclidean",10,1,"     0.78","    0.98","     0.87",95
2,"ball_tree",1,"euclidean",10,2,"     0.99","    0.88","     0.93",111
3,"ball_tree",1,"euclidean",10,3,"     0.87","    0.94","     0.91",103
4,"ball_tree",1,"euclidean",10,4,"     0.95","    0.85","     0.90",95
5,"ball_tree",1,"euclidean",10,5,"     0.93","    0.92","     0.92",97
6,"ball_tree",1,"euclidean",10,6,"     0.97","    0.92","     0.95",106
7,"ball_tree",1,"euclidean",10,7,"     0.82","    0.91","     0.86",97
8,"ball_tree",1,"euclidean",10,8,"     0.93","    0.78","     0.85",87
9,"ball_tree",1,"euclidean",10,9,"     0.87","    0.87","     0.87",112
0,"kd_tree",1,"euclidean",10,0,"     0.97","    0.97","     0.97",97
1,"kd_tree",1,"euclidean",10,1,"     0.78","    0.99","     0.87",95
2,"kd_tree",1,"euclidean",10,2,"     0.99","    0.88","     0.93",111
3,"kd_tree",1,"euclidean",10,3,"     0.87","    0.92","     0.90",103
4,"kd_tree",1,"euclidean",10,4,"     0.95","    0.84","     0.89",95
5,"kd_tree",1,"euclidean",10,5,"     0.93","    0.92","     0.92",97
6,"kd_tree",1,"euclidean",10,6,"     0.97","    0.92","     0.95",106
7,"kd_tree",1,"euclidean",10,7,"     0.81","    0.91","     0.85",97
8,"kd_tree",1,"euclidean",10,8,"     0.93","    0.78","     0.85",87
9,"kd_tree",1,"euclidean",10,9,"     0.86","    0.86","     0.86",112
0,"brute",1,"euclidean",10,0,"     0.97","    0.97","     0.97",97
1,"brute",1,"euclidean",10,1,"     0.78","    0.98","     0.87",95
2,"brute",1,"euclidean",10,2,"     0.99","    0.89","     0.94",111
3,"brute",1,"euclidean",10,3,"     0.87","    0.93","     0.90",103
4,"brute",1,"euclidean",10,4,"     0.95","    0.84","     0.89",95
5,"brute",1,"euclidean",10,5,"     0.93","    0.92","     0.92",97
6,"brute",1,"euclidean",10,6,"     0.98","    0.92","     0.95",106
7,"brute",1,"euclidean",10,7,"     0.81","    0.91","     0.86",97
8,"brute",1,"euclidean",10,8,"     0.93","    0.79","     0.86",87
9,"brute",1,"euclidean",10,9,"     0.87","    0.87","     0.87",112
0,"auto",5,"euclidean",10,0,"     0.99","    0.98","     0.98",97
1,"auto",5,"euclidean",10,1,"     0.66","    0.99","     0.79",95
2,"auto",5,"euclidean",10,2,"     0.98","    0.86","     0.91",111
3,"auto",5,"euclidean",10,3,"     0.90","    0.94","     0.92",103
4,"auto",5,"euclidean",10,4,"     0.91","    0.84","     0.87",95
5,"auto",5,"euclidean",10,5,"     0.94","    0.90","     0.92",97
6,"auto",5,"euclidean",10,6,"     0.96","    0.93","     0.95",106
7,"auto",5,"euclidean",10,7,"     0.80","    0.81","     0.81",97
8,"auto",5,"euclidean",10,8,"     0.96","    0.80","     0.88",87
9,"auto",5,"euclidean",10,9,"     0.89","    0.80","     0.85",112
0,"ball_tree",5,"euclidean",10,0,"     0.99","    0.98","     0.98",97
1,"ball_tree",5,"euclidean",10,1,"     0.67","    0.99","     0.80",95
2,"ball_tree",5,"euclidean",10,2,"     0.98","    0.86","     0.91",111
3,"ball_tree",5,"euclidean",10,3,"     0.90","    0.94","     0.92",103
4,"ball_tree",5,"euclidean",10,4,"     0.91","    0.83","     0.87",95
5,"ball_tree",5,"euclidean",10,5,"     0.94","    0.90","     0.92",97
6,"ball_tree",5,"euclidean",10,6,"     0.96","    0.93","     0.95",106
7,"ball_tree",5,"euclidean",10,7,"     0.79","    0.82","     0.81",97
8,"ball_tree",5,"euclidean",10,8,"     0.99","    0.79","     0.88",87
9,"ball_tree",5,"euclidean",10,9,"     0.87","    0.80","     0.83",112
0,"kd_tree",5,"euclidean",10,0,"     0.99","    0.98","     0.98",97
1,"kd_tree",5,"euclidean",10,1,"     0.66","    0.99","     0.79",95
2,"kd_tree",5,"euclidean",10,2,"     0.98","    0.86","     0.91",111
3,"kd_tree",5,"euclidean",10,3,"     0.90","    0.94","     0.92",103
4,"kd_tree",5,"euclidean",10,4,"     0.91","    0.84","     0.87",95
5,"kd_tree",5,"euclidean",10,5,"     0.94","    0.90","     0.92",97
6,"kd_tree",5,"euclidean",10,6,"     0.96","    0.93","     0.95",106
7,"kd_tree",5,"euclidean",10,7,"     0.80","    0.81","     0.81",97
8,"kd_tree",5,"euclidean",10,8,"     0.96","    0.80","     0.88",87
9,"kd_tree",5,"euclidean",10,9,"     0.89","    0.80","     0.85",112
0,"brute",5,"euclidean",10,0,"     0.97","    0.98","     0.97",97
1,"brute",5,"euclidean",10,1,"     0.67","    0.99","     0.80",95
2,"brute",5,"euclidean",10,2,"     0.99","    0.86","     0.92",111
3,"brute",5,"euclidean",10,3,"     0.89","    0.95","     0.92",103
4,"brute",5,"euclidean",10,4,"     0.90","    0.83","     0.86",95
5,"brute",5,"euclidean",10,5,"     0.95","    0.90","     0.92",97
6,"brute",5,"euclidean",10,6,"     0.98","    0.92","     0.95",106
7,"brute",5,"euclidean",10,7,"     0.76","    0.81","     0.79",97
8,"brute",5,"euclidean",10,8,"     0.97","    0.78","     0.87",87
9,"brute",5,"euclidean",10,9,"     0.88","    0.79","     0.83",112
0,"auto",10,"euclidean",10,0,"     0.97","    0.98","     0.97",97
1,"auto",10,"euclidean",10,1,"     0.63","    0.99","     0.77",95
2,"auto",10,"euclidean",10,2,"     1.00","    0.84","     0.91",111
3,"auto",10,"euclidean",10,3,"     0.87","    0.94","     0.90",103
4,"auto",10,"euclidean",10,4,"     0.89","    0.83","     0.86",95
5,"auto",10,"euclidean",10,5,"     0.95","    0.89","     0.91",97
6,"auto",10,"euclidean",10,6,"     0.98","    0.92","     0.95",106
7,"auto",10,"euclidean",10,7,"     0.78","    0.80","     0.79",97
8,"auto",10,"euclidean",10,8,"     0.94","    0.83","     0.88",87
9,"auto",10,"euclidean",10,9,"     0.91","    0.75","     0.82",112
0,"ball_tree",10,"euclidean",10,0,"     0.97","    0.98","     0.97",97
1,"ball_tree",10,"euclidean",10,1,"     0.62","    0.99","     0.76",95
2,"ball_tree",10,"euclidean",10,2,"     1.00","    0.83","     0.91",111
3,"ball_tree",10,"euclidean",10,3,"     0.87","    0.94","     0.91",103
4,"ball_tree",10,"euclidean",10,4,"     0.90","    0.83","     0.86",95
5,"ball_tree",10,"euclidean",10,5,"     0.95","    0.89","     0.91",97
6,"ball_tree",10,"euclidean",10,6,"     0.98","    0.92","     0.95",106
7,"ball_tree",10,"euclidean",10,7,"     0.78","    0.78","     0.78",97
8,"ball_tree",10,"euclidean",10,8,"     0.94","    0.83","     0.88",87
9,"ball_tree",10,"euclidean",10,9,"     0.89","    0.75","     0.82",112
0,"kd_tree",10,"euclidean",10,0,"     0.97","    0.98","     0.97",97
1,"kd_tree",10,"euclidean",10,1,"     0.63","    0.99","     0.77",95
2,"kd_tree",10,"euclidean",10,2,"     1.00","    0.84","     0.91",111
3,"kd_tree",10,"euclidean",10,3,"     0.87","    0.94","     0.90",103
4,"kd_tree",10,"euclidean",10,4,"     0.89","    0.83","     0.86",95
5,"kd_tree",10,"euclidean",10,5,"     0.95","    0.89","     0.91",97
6,"kd_tree",10,"euclidean",10,6,"     0.98","    0.92","     0.95",106
7,"kd_tree",10,"euclidean",10,7,"     0.78","    0.80","     0.79",97
8,"kd_tree",10,"euclidean",10,8,"     0.94","    0.83","     0.88",87
9,"kd_tree",10,"euclidean",10,9,"     0.91","    0.75","     0.82",112
0,"brute",10,"euclidean",10,0,"     0.96","    0.98","     0.97",97
1,"brute",10,"euclidean",10,1,"     0.62","    0.99","     0.76",95
2,"brute",10,"euclidean",10,2,"     1.00","    0.84","     0.91",111
3,"brute",10,"euclidean",10,3,"     0.85","    0.94","     0.89",103
4,"brute",10,"euclidean",10,4,"     0.90","    0.83","     0.86",95
5,"brute",10,"euclidean",10,5,"     0.93","    0.89","     0.91",97
6,"brute",10,"euclidean",10,6,"     0.99","    0.92","     0.95",106
7,"brute",10,"euclidean",10,7,"     0.77","    0.77","     0.77",97
8,"brute",10,"euclidean",10,8,"     0.96","    0.78","     0.86",87
9,"brute",10,"euclidean",10,9,"     0.87","    0.74","     0.80",112
0,"auto",20,"euclidean",10,0,"     0.96","    0.98","     0.97",97
1,"auto",20,"euclidean",10,1,"     0.60","    0.98","     0.74",95
2,"auto",20,"euclidean",10,2,"     0.99","    0.80","     0.89",111
3,"auto",20,"euclidean",10,3,"     0.84","    0.92","     0.88",103
4,"auto",20,"euclidean",10,4,"     0.89","    0.80","     0.84",95
5,"auto",20,"euclidean",10,5,"     0.93","    0.87","     0.90",97
6,"auto",20,"euclidean",10,6,"     0.95","    0.90","     0.92",106
7,"auto",20,"euclidean",10,7,"     0.73","    0.79","     0.76",97
8,"auto",20,"euclidean",10,8,"     0.96","    0.79","     0.87",87
9,"auto",20,"euclidean",10,9,"     0.90","    0.73","     0.81",112
0,"ball_tree",20,"euclidean",10,0,"     0.96","    0.98","     0.97",97
1,"ball_tree",20,"euclidean",10,1,"     0.61","    0.98","     0.75",95
2,"ball_tree",20,"euclidean",10,2,"     1.00","    0.80","     0.89",111
3,"ball_tree",20,"euclidean",10,3,"     0.85","    0.92","     0.88",103
4,"ball_tree",20,"euclidean",10,4,"     0.89","    0.81","     0.85",95
5,"ball_tree",20,"euclidean",10,5,"     0.93","    0.88","     0.90",97
6,"ball_tree",20,"euclidean",10,6,"     0.95","    0.89","     0.92",106
7,"ball_tree",20,"euclidean",10,7,"     0.72","    0.81","     0.76",97
8,"ball_tree",20,"euclidean",10,8,"     0.96","    0.78","     0.86",87
9,"ball_tree",20,"euclidean",10,9,"     0.90","    0.72","     0.80",112
0,"kd_tree",20,"euclidean",10,0,"     0.96","    0.98","     0.97",97
1,"kd_tree",20,"euclidean",10,1,"     0.60","    0.98","     0.74",95
2,"kd_tree",20,"euclidean",10,2,"     0.99","    0.80","     0.89",111
3,"kd_tree",20,"euclidean",10,3,"     0.84","    0.92","     0.88",103
4,"kd_tree",20,"euclidean",10,4,"     0.89","    0.80","     0.84",95
5,"kd_tree",20,"euclidean",10,5,"     0.93","    0.87","     0.90",97
6,"kd_tree",20,"euclidean",10,6,"     0.95","    0.90","     0.92",106
7,"kd_tree",20,"euclidean",10,7,"     0.73","    0.79","     0.76",97
8,"kd_tree",20,"euclidean",10,8,"     0.96","    0.79","     0.87",87
9,"kd_tree",20,"euclidean",10,9,"     0.90","    0.73","     0.81",112
0,"brute",20,"euclidean",10,0,"     0.97","    0.98","     0.97",97
1,"brute",20,"euclidean",10,1,"     0.60","    0.98","     0.74",95
2,"brute",20,"euclidean",10,2,"     1.00","    0.81","     0.90",111
3,"brute",20,"euclidean",10,3,"     0.86","    0.92","     0.89",103
4,"brute",20,"euclidean",10,4,"     0.89","    0.80","     0.84",95
5,"brute",20,"euclidean",10,5,"     0.93","    0.89","     0.91",97
6,"brute",20,"euclidean",10,6,"     0.94","    0.90","     0.92",106
7,"brute",20,"euclidean",10,7,"     0.74","    0.80","     0.77",97
8,"brute",20,"euclidean",10,8,"     0.96","    0.76","     0.85",87
9,"brute",20,"euclidean",10,9,"     0.89","    0.74","     0.81",112
0,"auto",50,"euclidean",10,0,"     0.90","    0.96","     0.93",97
1,"auto",50,"euclidean",10,1,"     0.52","    0.96","     0.67",95
2,"auto",50,"euclidean",10,2,"     1.00","    0.70","     0.83",111
3,"auto",50,"euclidean",10,3,"     0.86","    0.93","     0.89",103
4,"auto",50,"euclidean",10,4,"     0.89","    0.81","     0.85",95
5,"auto",50,"euclidean",10,5,"     0.89","    0.88","     0.89",97
6,"auto",50,"euclidean",10,6,"     0.94","    0.88","     0.91",106
7,"auto",50,"euclidean",10,7,"     0.69","    0.75","     0.72",97
8,"auto",50,"euclidean",10,8,"     0.94","    0.69","     0.79",87
9,"auto",50,"euclidean",10,9,"     0.90","    0.65","     0.76",112
0,"ball_tree",50,"euclidean",10,0,"     0.91","    0.97","     0.94",97
1,"ball_tree",50,"euclidean",10,1,"     0.52","    0.96","     0.68",95
2,"ball_tree",50,"euclidean",10,2,"     1.00","    0.68","     0.81",111
3,"ball_tree",50,"euclidean",10,3,"     0.85","    0.93","     0.89",103
4,"ball_tree",50,"euclidean",10,4,"     0.88","    0.80","     0.84",95
5,"ball_tree",50,"euclidean",10,5,"     0.90","    0.88","     0.89",97
6,"ball_tree",50,"euclidean",10,6,"     0.93","    0.88","     0.90",106
7,"ball_tree",50,"euclidean",10,7,"     0.70","    0.75","     0.72",97
8,"ball_tree",50,"euclidean",10,8,"     0.94","    0.68","     0.79",87
9,"ball_tree",50,"euclidean",10,9,"     0.88","    0.68","     0.77",112
0,"kd_tree",50,"euclidean",10,0,"     0.90","    0.96","     0.93",97
1,"kd_tree",50,"euclidean",10,1,"     0.52","    0.96","     0.67",95
2,"kd_tree",50,"euclidean",10,2,"     1.00","    0.70","     0.83",111
3,"kd_tree",50,"euclidean",10,3,"     0.86","    0.93","     0.89",103
4,"kd_tree",50,"euclidean",10,4,"     0.89","    0.81","     0.85",95
5,"kd_tree",50,"euclidean",10,5,"     0.89","    0.88","     0.89",97
6,"kd_tree",50,"euclidean",10,6,"     0.94","    0.88","     0.91",106
7,"kd_tree",50,"euclidean",10,7,"     0.69","    0.75","     0.72",97
8,"kd_tree",50,"euclidean",10,8,"     0.94","    0.69","     0.79",87
9,"kd_tree",50,"euclidean",10,9,"     0.90","    0.65","     0.76",112
0,"brute",50,"euclidean",10,0,"     0.90","    0.96","     0.93",97
1,"brute",50,"euclidean",10,1,"     0.53","    0.97","     0.69",95
2,"brute",50,"euclidean",10,2,"     1.00","    0.68","     0.81",111
3,"brute",50,"euclidean",10,3,"     0.86","    0.93","     0.90",103
4,"brute",50,"euclidean",10,4,"     0.89","    0.81","     0.85",95
5,"brute",50,"euclidean",10,5,"     0.89","    0.89","     0.89",97
6,"brute",50,"euclidean",10,6,"     0.93","    0.87","     0.90",106
7,"brute",50,"euclidean",10,7,"     0.70","    0.75","     0.73",97
8,"brute",50,"euclidean",10,8,"     0.95","    0.70","     0.81",87
9,"brute",50,"euclidean",10,9,"     0.90","    0.69","     0.78",112
0,"auto",1,"manhattan",10,0,"     0.97","    0.97","     0.97",97
1,"auto",1,"manhattan",10,1,"     0.78","    0.99","     0.87",95
2,"auto",1,"manhattan",10,2,"     0.99","    0.88","     0.93",111
3,"auto",1,"manhattan",10,3,"     0.87","    0.92","     0.90",103
4,"auto",1,"manhattan",10,4,"     0.95","    0.84","     0.89",95
5,"auto",1,"manhattan",10,5,"     0.93","    0.92","     0.92",97
6,"auto",1,"manhattan",10,6,"     0.97","    0.92","     0.95",106
7,"auto",1,"manhattan",10,7,"     0.81","    0.91","     0.85",97
8,"auto",1,"manhattan",10,8,"     0.93","    0.78","     0.85",87
9,"auto",1,"manhattan",10,9,"     0.86","    0.86","     0.86",112
0,"ball_tree",1,"manhattan",10,0,"     0.97","    0.97","     0.97",97
1,"ball_tree",1,"manhattan",10,1,"     0.78","    0.98","     0.87",95
2,"ball_tree",1,"manhattan",10,2,"     0.99","    0.88","     0.93",111
3,"ball_tree",1,"manhattan",10,3,"     0.87","    0.94","     0.91",103
4,"ball_tree",1,"manhattan",10,4,"     0.95","    0.85","     0.90",95
5,"ball_tree",1,"manhattan",10,5,"     0.93","    0.92","     0.92",97
6,"ball_tree",1,"manhattan",10,6,"     0.97","    0.92","     0.95",106
7,"ball_tree",1,"manhattan",10,7,"     0.82","    0.91","     0.86",97
8,"ball_tree",1,"manhattan",10,8,"     0.93","    0.78","     0.85",87
9,"ball_tree",1,"manhattan",10,9,"     0.87","    0.87","     0.87",112
0,"kd_tree",1,"manhattan",10,0,"     0.97","    0.97","     0.97",97
1,"kd_tree",1,"manhattan",10,1,"     0.78","    0.99","     0.87",95
2,"kd_tree",1,"manhattan",10,2,"     0.99","    0.88","     0.93",111
3,"kd_tree",1,"manhattan",10,3,"     0.87","    0.92","     0.90",103
4,"kd_tree",1,"manhattan",10,4,"     0.95","    0.84","     0.89",95
5,"kd_tree",1,"manhattan",10,5,"     0.93","    0.92","     0.92",97
6,"kd_tree",1,"manhattan",10,6,"     0.97","    0.92","     0.95",106
7,"kd_tree",1,"manhattan",10,7,"     0.81","    0.91","     0.85",97
8,"kd_tree",1,"manhattan",10,8,"     0.93","    0.78","     0.85",87
9,"kd_tree",1,"manhattan",10,9,"     0.86","    0.86","     0.86",112
0,"brute",1,"manhattan",10,0,"     0.97","    0.97","     0.97",97
1,"brute",1,"manhattan",10,1,"     0.78","    0.98","     0.87",95
2,"brute",1,"manhattan",10,2,"     0.99","    0.89","     0.94",111
3,"brute",1,"manhattan",10,3,"     0.87","    0.93","     0.90",103
4,"brute",1,"manhattan",10,4,"     0.95","    0.84","     0.89",95
5,"brute",1,"manhattan",10,5,"     0.93","    0.92","     0.92",97
6,"brute",1,"manhattan",10,6,"     0.98","    0.92","     0.95",106
7,"brute",1,"manhattan",10,7,"     0.81","    0.91","     0.86",97
8,"brute",1,"manhattan",10,8,"     0.93","    0.79","     0.86",87
9,"brute",1,"manhattan",10,9,"     0.87","    0.87","     0.87",112
0,"auto",5,"manhattan",10,0,"     0.99","    0.98","     0.98",97
1,"auto",5,"manhattan",10,1,"     0.66","    0.99","     0.79",95
2,"auto",5,"manhattan",10,2,"     0.98","    0.86","     0.91",111
3,"auto",5,"manhattan",10,3,"     0.90","    0.94","     0.92",103
4,"auto",5,"manhattan",10,4,"     0.91","    0.84","     0.87",95
5,"auto",5,"manhattan",10,5,"     0.94","    0.90","     0.92",97
6,"auto",5,"manhattan",10,6,"     0.96","    0.93","     0.95",106
7,"auto",5,"manhattan",10,7,"     0.80","    0.81","     0.81",97
8,"auto",5,"manhattan",10,8,"     0.96","    0.80","     0.88",87
9,"auto",5,"manhattan",10,9,"     0.89","    0.80","     0.85",112
0,"ball_tree",5,"manhattan",10,0,"     0.99","    0.98","     0.98",97
1,"ball_tree",5,"manhattan",10,1,"     0.67","    0.99","     0.80",95
2,"ball_tree",5,"manhattan",10,2,"     0.98","    0.86","     0.91",111
3,"ball_tree",5,"manhattan",10,3,"     0.90","    0.94","     0.92",103
4,"ball_tree",5,"manhattan",10,4,"     0.91","    0.83","     0.87",95
5,"ball_tree",5,"manhattan",10,5,"     0.94","    0.90","     0.92",97
6,"ball_tree",5,"manhattan",10,6,"     0.96","    0.93","     0.95",106
7,"ball_tree",5,"manhattan",10,7,"     0.79","    0.82","     0.81",97
8,"ball_tree",5,"manhattan",10,8,"     0.99","    0.79","     0.88",87
9,"ball_tree",5,"manhattan",10,9,"     0.87","    0.80","     0.83",112
0,"kd_tree",5,"manhattan",10,0,"     0.99","    0.98","     0.98",97
1,"kd_tree",5,"manhattan",10,1,"     0.66","    0.99","     0.79",95
2,"kd_tree",5,"manhattan",10,2,"     0.98","    0.86","     0.91",111
3,"kd_tree",5,"manhattan",10,3,"     0.90","    0.94","     0.92",103
4,"kd_tree",5,"manhattan",10,4,"     0.91","    0.84","     0.87",95
5,"kd_tree",5,"manhattan",10,5,"     0.94","    0.90","     0.92",97
6,"kd_tree",5,"manhattan",10,6,"     0.96","    0.93","     0.95",106
