"";"digits";"algorithm";"n_neighbors";"metric";"sizes";"digit";"precision";"recall";"f1_score";"support"
"1629";8;"kd_tree";1;"manhattan";20;8;0,96;0,86;0,91;87
"1630";9;"kd_tree";1;"manhattan";20;9;0,92;0,9;0,91;112
"1631";0;"brute";1;"manhattan";20;0;0,96;0,97;0,96;97
"1632";1;"brute";1;"manhattan";20;1;0,79;0,98;0,87;95
"1633";2;"brute";1;"manhattan";20;2;0,99;0,91;0,95;111
"1634";3;"brute";1;"manhattan";20;3;0,93;0,94;0,94;103
"1635";4;"brute";1;"manhattan";20;4;0,95;0,87;0,91;95
"1636";5;"brute";1;"manhattan";20;5;0,91;0,93;0,92;97
"1637";6;"brute";1;"manhattan";20;6;0,98;0,92;0,95;106
"1638";7;"brute";1;"manhattan";20;7;0,84;0,9;0,87;97
"1639";8;"brute";1;"manhattan";20;8;0,96;0,86;0,91;87
"1640";9;"brute";1;"manhattan";20;9;0,92;0,9;0,91;112
"1641";0;"auto";5;"manhattan";20;0;0,97;0,98;0,97;97
"1643";2;"auto";5;"manhattan";20;2;0,98;0,89;0,93;111
"1644";3;"auto";5;"manhattan";20;3;0,92;0,92;0,92;103
"1645";4;"auto";5;"manhattan";20;4;0,95;0,88;0,92;95
"1646";5;"auto";5;"manhattan";20;5;0,97;0,92;0,94;97
"1647";6;"auto";5;"manhattan";20;6;0,98;0,94;0,96;106
"1648";7;"auto";5;"manhattan";20;7;0,85;0,87;0,86;97
"1649";8;"auto";5;"manhattan";20;8;0,96;0,87;0,92;87
"1650";9;"auto";5;"manhattan";20;9;0,96;0,88;0,92;112
"1651";0;"ball_tree";5;"manhattan";20;0;0,97;0,98;0,97;97
"1653";2;"ball_tree";5;"manhattan";20;2;0,98;0,89;0,93;111
"1654";3;"ball_tree";5;"manhattan";20;3;0,92;0,92;0,92;103
"1655";4;"ball_tree";5;"manhattan";20;4;0,95;0,88;0,92;95
"1656";5;"ball_tree";5;"manhattan";20;5;0,97;0,92;0,94;97
"1657";6;"ball_tree";5;"manhattan";20;6;0,98;0,94;0,96;106
"1658";7;"ball_tree";5;"manhattan";20;7;0,85;0,87;0,86;97
"1659";8;"ball_tree";5;"manhattan";20;8;0,96;0,87;0,92;87
"1660";9;"ball_tree";5;"manhattan";20;9;0,96;0,88;0,92;112
"1661";0;"kd_tree";5;"manhattan";20;0;0,97;0,98;0,97;97
"1663";2;"kd_tree";5;"manhattan";20;2;0,98;0,89;0,93;111
"1664";3;"kd_tree";5;"manhattan";20;3;0,92;0,92;0,92;103
"1665";4;"kd_tree";5;"manhattan";20;4;0,95;0,88;0,92;95
"1666";5;"kd_tree";5;"manhattan";20;5;0,97;0,92;0,94;97
"1667";6;"kd_tree";5;"manhattan";20;6;0,98;0,94;0,96;106
"1668";7;"kd_tree";5;"manhattan";20;7;0,85;0,87;0,86;97
"1669";8;"kd_tree";5;"manhattan";20;8;0,96;0,87;0,92;87
"1670";9;"kd_tree";5;"manhattan";20;9;0,96;0,88;0,92;112
"1671";0;"brute";5;"manhattan";20;0;0,97;0,98;0,97;97
"1673";2;"brute";5;"manhattan";20;2;0,99;0,89;0,94;111
"1674";3;"brute";5;"manhattan";20;3;0,92;0,93;0,93;103
"1675";4;"brute";5;"manhattan";20;4;0,95;0,87;0,91;95
"1676";5;"brute";5;"manhattan";20;5;0,97;0,92;0,94;97
"1677";6;"brute";5;"manhattan";20;6;0,97;0,94;0,96;106
"1679";8;"brute";5;"manhattan";20;8;0,97;0,87;0,92;87
"1680";9;"brute";5;"manhattan";20;9;0,96;0,88;0,92;112
"1681";0;"auto";10;"manhattan";20;0;0,97;0,98;0,97;97
"1683";2;"auto";10;"manhattan";20;2;0,98;0,86;0,92;111
"1684";3;"auto";10;"manhattan";20;3;0,91;0,94;0,92;103
"1685";4;"auto";10;"manhattan";20;4;0,94;0,82;0,88;95
"1686";5;"auto";10;"manhattan";20;5;0,94;0,92;0,93;97
"1687";6;"auto";10;"manhattan";20;6;0,96;0,92;0,94;106
"1691";0;"ball_tree";10;"manhattan";20;0;0,97;0,98;0,97;97
"1693";2;"ball_tree";10;"manhattan";20;2;0,98;0,86;0,92;111
"1694";3;"ball_tree";10;"manhattan";20;3;0,91;0,94;0,92;103
"1695";4;"ball_tree";10;"manhattan";20;4;0,94;0,82;0,88;95
"1696";5;"ball_tree";10;"manhattan";20;5;0,94;0,92;0,93;97
"1697";6;"ball_tree";10;"manhattan";20;6;0,96;0,92;0,94;106
"1701";0;"kd_tree";10;"manhattan";20;0;0,97;0,98;0,97;97
"1703";2;"kd_tree";10;"manhattan";20;2;0,98;0,86;0,92;111
"1704";3;"kd_tree";10;"manhattan";20;3;0,91;0,94;0,92;103
"1705";4;"kd_tree";10;"manhattan";20;4;0,94;0,82;0,88;95
"1706";5;"kd_tree";10;"manhattan";20;5;0,94;0,92;0,93;97
"1707";6;"kd_tree";10;"manhattan";20;6;0,96;0,92;0,94;106
"1711";0;"brute";10;"manhattan";20;0;0,97;0,98;0,97;97
"1713";2;"brute";10;"manhattan";20;2;0,99;0,86;0,92;111
"1714";3;"brute";10;"manhattan";20;3;0,91;0,95;0,93;103
"1715";4;"brute";10;"manhattan";20;4;0,94;0,82;0,88;95
"1716";5;"brute";10;"manhattan";20;5;0,94;0,92;0,93;97
"1717";6;"brute";10;"manhattan";20;6;0,96;0,92;0,94;106
"1721";0;"auto";20;"manhattan";20;0;0,97;0,98;0,97;97
"1724";3;"auto";20;"manhattan";20;3;0,9;0,92;0,91;103
"1725";4;"auto";20;"manhattan";20;4;0,91;0,81;0,86;95
"1726";5;"auto";20;"manhattan";20;5;0,96;0,89;0,92;97
"1727";6;"auto";20;"manhattan";20;6;0,96;0,89;0,92;106
"1731";0;"ball_tree";20;"manhattan";20;0;0,97;0,98;0,97;97
"1734";3;"ball_tree";20;"manhattan";20;3;0,9;0,92;0,91;103
"1735";4;"ball_tree";20;"manhattan";20;4;0,91;0,81;0,86;95
"1736";5;"ball_tree";20;"manhattan";20;5;0,96;0,89;0,92;97
"1737";6;"ball_tree";20;"manhattan";20;6;0,96;0,89;0,92;106
"1741";0;"kd_tree";20;"manhattan";20;0;0,97;0,98;0,97;97
"1744";3;"kd_tree";20;"manhattan";20;3;0,9;0,92;0,91;103
"1745";4;"kd_tree";20;"manhattan";20;4;0,91;0,81;0,86;95
"1746";5;"kd_tree";20;"manhattan";20;5;0,96;0,89;0,92;97
"1747";6;"kd_tree";20;"manhattan";20;6;0,96;0,89;0,92;106
"1751";0;"brute";20;"manhattan";20;0;0,97;0,98;0,97;97
"1754";3;"brute";20;"manhattan";20;3;0,9;0,92;0,91;103
"1755";4;"brute";20;"manhattan";20;4;0,91;0,81;0,86;95
"1756";5;"brute";20;"manhattan";20;5;0,96;0,9;0,93;97
"1757";6;"brute";20;"manhattan";20;6;0,96;0,89;0,92;106
"1761";0;"auto";50;"manhattan";20;0;0,95;0,97;0,96;97
"1771";0;"ball_tree";50;"manhattan";20;0;0,95;0,97;0,96;97
"1781";0;"kd_tree";50;"manhattan";20;0;0,95;0,97;0,96;97
"1791";0;"brute";50;"manhattan";20;0;0,95;0,97;0,96;97
"2001";0;"auto";1;"euclidean";30;0;0,96;0,95;0,95;97
"2002";1;"auto";1;"euclidean";30;1;0,79;0,98;0,88;95
"2003";2;"auto";1;"euclidean";30;2;0,99;0,9;0,94;111
"2004";3;"auto";1;"euclidean";30;3;0,91;0,95;0,93;103
"2005";4;"auto";1;"euclidean";30;4;0,94;0,86;0,9;95
"2006";5;"auto";1;"euclidean";30;5;0,92;0,91;0,91;97
"2007";6;"auto";1;"euclidean";30;6;0,97;0,92;0,95;106
"2008";7;"auto";1;"euclidean";30;7;0,85;0,91;0,88;97
"2009";8;"auto";1;"euclidean";30;8;0,97;0,9;0,93;87
"2010";9;"auto";1;"euclidean";30;9;0,92;0,9;0,91;112
"2011";0;"ball_tree";1;"euclidean";30;0;0,96;0,95;0,95;97
"2012";1;"ball_tree";1;"euclidean";30;1;0,79;0,98;0,88;95
"2013";2;"ball_tree";1;"euclidean";30;2;0,99;0,9;0,94;111
"2014";3;"ball_tree";1;"euclidean";30;3;0,91;0,95;0,93;103
"2015";4;"ball_tree";1;"euclidean";30;4;0,94;0,86;0,9;95
"2016";5;"ball_tree";1;"euclidean";30;5;0,92;0,91;0,91;97
"2017";6;"ball_tree";1;"euclidean";30;6;0,97;0,92;0,95;106
"2018";7;"ball_tree";1;"euclidean";30;7;0,85;0,91;0,88;97
"2019";8;"ball_tree";1;"euclidean";30;8;0,97;0,9;0,93;87
"2020";9;"ball_tree";1;"euclidean";30;9;0,92;0,9;0,91;112
"2021";0;"kd_tree";1;"euclidean";30;0;0,96;0,95;0,95;97
"2022";1;"kd_tree";1;"euclidean";30;1;0,79;0,98;0,88;95
"2023";2;"kd_tree";1;"euclidean";30;2;0,99;0,9;0,94;111
"2024";3;"kd_tree";1;"euclidean";30;3;0,91;0,95;0,93;103
"2025";4;"kd_tree";1;"euclidean";30;4;0,94;0,86;0,9;95
"2026";5;"kd_tree";1;"euclidean";30;5;0,92;0,91;0,91;97
"2027";6;"kd_tree";1;"euclidean";30;6;0,97;0,92;0,95;106
"2028";7;"kd_tree";1;"euclidean";30;7;0,85;0,91;0,88;97
"2029";8;"kd_tree";1;"euclidean";30;8;0,97;0,9;0,93;87
"2030";9;"kd_tree";1;"euclidean";30;9;0,92;0,9;0,91;112
"2031";0;"brute";1;"euclidean";30;0;0,96;0,95;0,95;97
"2032";1;"brute";1;"euclidean";30;1;0,79;0,98;0,88;95
"2033";2;"brute";1;"euclidean";30;2;0,99;0,9;0,94;111
"2034";3;"brute";1;"euclidean";30;3;0,91;0,95;0,93;103
"2035";4;"brute";1;"euclidean";30;4;0,94;0,86;0,9;95
"2036";5;"brute";1;"euclidean";30;5;0,92;0,91;0,91;97
"2037";6;"brute";1;"euclidean";30;6;0,97;0,92;0,95;106
"2038";7;"brute";1;"euclidean";30;7;0,85;0,91;0,88;97
"2039";8;"brute";1;"euclidean";30;8;0,97;0,9;0,93;87
"2040";9;"brute";1;"euclidean";30;9;0,92;0,9;0,91;112
"2041";0;"auto";5;"euclidean";30;0;0,98;0,98;0,98;97
"2043";2;"auto";5;"euclidean";30;2;0,99;0,9;0,94;111
"2044";3;"auto";5;"euclidean";30;3;0,92;0,95;0,93;103
"2045";4;"auto";5;"euclidean";30;4;0,92;0,85;0,89;95
"2046";5;"auto";5;"euclidean";30;5;0,98;0,92;0,95;97
"2047";6;"auto";5;"euclidean";30;6;0,97;0,94;0,96;106
"2049";8;"auto";5;"euclidean";30;8;0,99;0,87;0,93;87
"2051";0;"ball_tree";5;"euclidean";30;0;0,98;0,98;0,98;97
"2053";2;"ball_tree";5;"euclidean";30;2;0,99;0,9;0,94;111
"2054";3;"ball_tree";5;"euclidean";30;3;0,92;0,95;0,93;103
"2055";4;"ball_tree";5;"euclidean";30;4;0,92;0,85;0,89;95
"2056";5;"ball_tree";5;"euclidean";30;5;0,98;0,92;0,95;97
"2057";6;"ball_tree";5;"euclidean";30;6;0,97;0,94;0,96;106
"2059";8;"ball_tree";5;"euclidean";30;8;0,99;0,87;0,93;87
"2061";0;"kd_tree";5;"euclidean";30;0;0,98;0,98;0,98;97
"2063";2;"kd_tree";5;"euclidean";30;2;0,99;0,9;0,94;111
"2064";3;"kd_tree";5;"euclidean";30;3;0,92;0,95;0,93;103
"2065";4;"kd_tree";5;"euclidean";30;4;0,92;0,85;0,89;95
"2066";5;"kd_tree";5;"euclidean";30;5;0,98;0,92;0,95;97
"2067";6;"kd_tree";5;"euclidean";30;6;0,97;0,94;0,96;106
"2069";8;"kd_tree";5;"euclidean";30;8;0,99;0,87;0,93;87
"2071";0;"brute";5;"euclidean";30;0;0,98;0,98;0,98;97
"2073";2;"brute";5;"euclidean";30;2;0,99;0,89;0,94;111
"2074";3;"brute";5;"euclidean";30;3;0,91;0,95;0,93;103
"2075";4;"brute";5;"euclidean";30;4;0,92;0,86;0,89;95
"2076";5;"brute";5;"euclidean";30;5;0,98;0,91;0,94;97
"2077";6;"brute";5;"euclidean";30;6;0,97;0,94;0,96;106
"2079";8;"brute";5;"euclidean";30;8;0,99;0,86;0,92;87
"2081";0;"auto";10;"euclidean";30;0;0,95;0,98;0,96;97
"2083";2;"auto";10;"euclidean";30;2;0,99;0,84;0,91;111
"2084";3;"auto";10;"euclidean";30;3;0,89;0,94;0,92;103
"2085";4;"auto";10;"euclidean";30;4;0,92;0,86;0,89;95
"2086";5;"auto";10;"euclidean";30;5;0,97;0,9;0,93;97
"2087";6;"auto";10;"euclidean";30;6;0,97;0,92;0,94;106
"2091";0;"ball_tree";10;"euclidean";30;0;0,95;0,98;0,96;97
"2093";2;"ball_tree";10;"euclidean";30;2;0,99;0,84;0,91;111
"2094";3;"ball_tree";10;"euclidean";30;3;0,89;0,94;0,92;103
"2095";4;"ball_tree";10;"euclidean";30;4;0,92;0,86;0,89;95
"2096";5;"ball_tree";10;"euclidean";30;5;0,97;0,9;0,93;97
"2097";6;"ball_tree";10;"euclidean";30;6;0,97;0,92;0,94;106
"2101";0;"kd_tree";10;"euclidean";30;0;0,95;0,98;0,96;97
"2103";2;"kd_tree";10;"euclidean";30;2;0,99;0,84;0,91;111
"2104";3;"kd_tree";10;"euclidean";30;3;0,89;0,94;0,92;103
"2105";4;"kd_tree";10;"euclidean";30;4;0,92;0,86;0,89;95
"2106";5;"kd_tree";10;"euclidean";30;5;0,97;0,9;0,93;97
"2107";6;"kd_tree";10;"euclidean";30;6;0,97;0,92;0,94;106
"2111";0;"brute";10;"euclidean";30;0;0,96;0,98;0,97;97
"2113";2;"brute";10;"euclidean";30;2;0,99;0,84;0,91;111
"2114";3;"brute";10;"euclidean";30;3;0,89;0,94;0,92;103
"2115";4;"brute";10;"euclidean";30;4;0,92;0,85;0,89;95
"2116";5;"brute";10;"euclidean";30;5;0,97;0,9;0,93;97
"2117";6;"brute";10;"euclidean";30;6;0,97;0,92;0,95;106
"2121";0;"auto";20;"euclidean";30;0;0,94;0,98;0,96;97
"2125";4;"auto";20;"euclidean";30;4;0,93;0,8;0,86;95
"2126";5;"auto";20;"euclidean";30;5;0,94;0,91;0,92;97
"2127";6;"auto";20;"euclidean";30;6;0,97;0,91;0,94;106
"2131";0;"ball_tree";20;"euclidean";30;0;0,94;0,98;0,96;97
"2134";3;"ball_tree";20;"euclidean";30;3;0,89;0,93;0,91;103
"2135";4;"ball_tree";20;"euclidean";30;4;0,93;0,8;0,86;95
"2136";5;"ball_tree";20;"euclidean";30;5;0,94;0,91;0,92;97
"2137";6;"ball_tree";20;"euclidean";30;6;0,97;0,91;0,94;106
"2141";0;"kd_tree";20;"euclidean";30;0;0,94;0,98;0,96;97
"2145";4;"kd_tree";20;"euclidean";30;4;0,93;0,8;0,86;95
"2146";5;"kd_tree";20;"euclidean";30;5;0,94;0,91;0,92;97
"2147";6;"kd_tree";20;"euclidean";30;6;0,97;0,91;0,94;106
"2151";0;"brute";20;"euclidean";30;0;0,95;0,98;0,96;97
"2155";4;"brute";20;"euclidean";30;4;0,93;0,8;0,86;95
"2156";5;"brute";20;"euclidean";30;5;0,94;0,91;0,92;97
"2157";6;"brute";20;"euclidean";30;6;0,96;0,91;0,93;106
"2161";0;"auto";50;"euclidean";30;0;0,95;0,97;0,96;97
"2167";6;"auto";50;"euclidean";30;6;0,94;0,88;0,91;106
"2171";0;"ball_tree";50;"euclidean";30;0;0,95;0,97;0,96;97
"2177";6;"ball_tree";50;"euclidean";30;6;0,94;0,88;0,91;106
"2181";0;"kd_tree";50;"euclidean";30;0;0,95;0,97;0,96;97
"2187";6;"kd_tree";50;"euclidean";30;6;0,94;0,88;0,91;106
"2191";0;"brute";50;"euclidean";30;0;0,96;0,97;0,96;97
"2197";6;"brute";50;"euclidean";30;6;0,94;0,88;0,91;106
"2201";0;"auto";1;"manhattan";30;0;0,96;0,95;0,95;97
"2202";1;"auto";1;"manhattan";30;1;0,79;0,98;0,88;95
"2203";2;"auto";1;"manhattan";30;2;0,99;0,9;0,94;111
"2204";3;"auto";1;"manhattan";30;3;0,91;0,95;0,93;103
"2205";4;"auto";1;"manhattan";30;4;0,94;0,86;0,9;95
"2206";5;"auto";1;"manhattan";30;5;0,92;0,91;0,91;97
"2207";6;"auto";1;"manhattan";30;6;0,97;0,92;0,95;106
"2208";7;"auto";1;"manhattan";30;7;0,85;0,91;0,88;97
"2209";8;"auto";1;"manhattan";30;8;0,97;0,9;0,93;87
"2210";9;"auto";1;"manhattan";30;9;0,92;0,9;0,91;112
"2211";0;"ball_tree";1;"manhattan";30;0;0,96;0,95;0,95;97
"2212";1;"ball_tree";1;"manhattan";30;1;0,79;0,98;0,88;95
"2213";2;"ball_tree";1;"manhattan";30;2;0,99;0,9;0,94;111
"2214";3;"ball_tree";1;"manhattan";30;3;0,91;0,95;0,93;103
"2215";4;"ball_tree";1;"manhattan";30;4;0,94;0,86;0,9;95
"2216";5;"ball_tree";1;"manhattan";30;5;0,92;0,91;0,91;97
"2217";6;"ball_tree";1;"manhattan";30;6;0,97;0,92;0,95;106
"2218";7;"ball_tree";1;"manhattan";30;7;0,85;0,91;0,88;97
"2219";8;"ball_tree";1;"manhattan";30;8;0,97;0,9;0,93;87
"2220";9;"ball_tree";1;"manhattan";30;9;0,92;0,9;0,91;112
"2221";0;"kd_tree";1;"manhattan";30;0;0,96;0,95;0,95;97
"2222";1;"kd_tree";1;"manhattan";30;1;0,79;0,98;0,88;95
"2223";2;"kd_tree";1;"manhattan";30;2;0,99;0,9;0,94;111
"2224";3;"kd_tree";1;"manhattan";30;3;0,91;0,95;0,93;103
"2225";4;"kd_tree";1;"manhattan";30;4;0,94;0,86;0,9;95
"2226";5;"kd_tree";1;"manhattan";30;5;0,92;0,91;0,91;97
"2227";6;"kd_tree";1;"manhattan";30;6;0,97;0,92;0,95;106
"2228";7;"kd_tree";1;"manhattan";30;7;0,85;0,91;0,88;97
"2229";8;"kd_tree";1;"manhattan";30;8;0,97;0,9;0,93;87
"2230";9;"kd_tree";1;"manhattan";30;9;0,92;0,9;0,91;112
"2231";0;"brute";1;"manhattan";30;0;0,96;0,95;0,95;97
"2232";1;"brute";1;"manhattan";30;1;0,79;0,98;0,88;95
"2233";2;"brute";1;"manhattan";30;2;0,99;0,9;0,94;111
"2234";3;"brute";1;"manhattan";30;3;0,91;0,95;0,93;103
"2235";4;"brute";1;"manhattan";30;4;0,94;0,86;0,9;95
"2236";5;"brute";1;"manhattan";30;5;0,92;0,91;0,91;97
"2237";6;"brute";1;"manhattan";30;6;0,97;0,92;0,95;106
"2238";7;"brute";1;"manhattan";30;7;0,85;0,91;0,88;97
"2239";8;"brute";1;"manhattan";30;8;0,97;0,9;0,93;87
"2240";9;"brute";1;"manhattan";30;9;0,92;0,9;0,91;112
"2241";0;"auto";5;"manhattan";30;0;0,98;0,98;0,98;97
"2243";2;"auto";5;"manhattan";30;2;0,99;0,9;0,94;111
"2244";3;"auto";5;"manhattan";30;3;0,92;0,95;0,93;103
"2245";4;"auto";5;"manhattan";30;4;0,92;0,85;0,89;95
"2246";5;"auto";5;"manhattan";30;5;0,98;0,92;0,95;97
"2247";6;"auto";5;"manhattan";30;6;0,97;0,94;0,96;106
"2249";8;"auto";5;"manhattan";30;8;0,99;0,87;0,93;87
"2251";0;"ball_tree";5;"manhattan";30;0;0,98;0,98;0,98;97
"2253";2;"ball_tree";5;"manhattan";30;2;0,99;0,9;0,94;111
"2254";3;"ball_tree";5;"manhattan";30;3;0,92;0,95;0,93;103
"2255";4;"ball_tree";5;"manhattan";30;4;0,92;0,85;0,89;95
"2256";5;"ball_tree";5;"manhattan";30;5;0,98;0,92;0,95;97
"2257";6;"ball_tree";5;"manhattan";30;6;0,97;0,94;0,96;106
"2259";8;"ball_tree";5;"manhattan";30;8;0,99;0,87;0,93;87
"2261";0;"kd_tree";5;"manhattan";30;0;0,98;0,98;0,98;97
"2263";2;"kd_tree";5;"manhattan";30;2;0,99;0,9;0,94;111
"2264";3;"kd_tree";5;"manhattan";30;3;0,92;0,95;0,93;103
"2265";4;"kd_tree";5;"manhattan";30;4;0,92;0,85;0,89;95
"2266";5;"kd_tree";5;"manhattan";30;5;0,98;0,92;0,95;97
"2267";6;"kd_tree";5;"manhattan";30;6;0,97;0,94;0,96;106
"2269";8;"kd_tree";5;"manhattan";30;8;0,99;0,87;0,93;87
"2271";0;"brute";5;"manhattan";30;0;0,98;0,98;0,98;97
"2273";2;"brute";5;"manhattan";30;2;0,99;0,89;0,94;111
"2274";3;"brute";5;"manhattan";30;3;0,91;0,95;0,93;103
"2275";4;"brute";5;"manhattan";30;4;0,92;0,86;0,89;95
"2276";5;"brute";5;"manhattan";30;5;0,98;0,91;0,94;97
"2277";6;"brute";5;"manhattan";30;6;0,97;0,94;0,96;106
"2279";8;"brute";5;"manhattan";30;8;0,99;0,86;0,92;87
"2281";0;"auto";10;"manhattan";30;0;0,95;0,98;0,96;97
"2283";2;"auto";10;"manhattan";30;2;0,99;0,84;0,91;111
"2284";3;"auto";10;"manhattan";30;3;0,89;0,94;0,92;103
"2285";4;"auto";10;"manhattan";30;4;0,92;0,86;0,89;95
"2286";5;"auto";10;"manhattan";30;5;0,97;0,9;0,93;97
"2287";6;"auto";10;"manhattan";30;6;0,97;0,92;0,94;106
"2291";0;"ball_tree";10;"manhattan";30;0;0,95;0,98;0,96;97
"2293";2;"ball_tree";10;"manhattan";30;2;0,99;0,84;0,91;111
"2294";3;"ball_tree";10;"manhattan";30;3;0,89;0,94;0,92;103
"2295";4;"ball_tree";10;"manhattan";30;4;0,92;0,86;0,89;95
"2296";5;"ball_tree";10;"manhattan";30;5;0,97;0,9;0,93;97
"2297";6;"ball_tree";10;"manhattan";30;6;0,97;0,92;0,94;106
"2301";0;"kd_tree";10;"manhattan";30;0;0,95;0,98;0,96;97
"2303";2;"kd_tree";10;"manhattan";30;2;0,99;0,84;0,91;111
"2304";3;"kd_tree";10;"manhattan";30;3;0,89;0,94;0,92;103
"2305";4;"kd_tree";10;"manhattan";30;4;0,92;0,86;0,89;95
"2306";5;"kd_tree";10;"manhattan";30;5;0,97;0,9;0,93;97
"2307";6;"kd_tree";10;"manhattan";30;6;0,97;0,92;0,94;106
"2311";0;"brute";10;"manhattan";30;0;0,96;0,98;0,97;97
"2313";2;"brute";10;"manhattan";30;2;0,99;0,84;0,91;111
"2314";3;"brute";10;"manhattan";30;3;0,89;0,94;0,92;103
"2315";4;"brute";10;"manhattan";30;4;0,92;0,85;0,89;95
"2316";5;"brute";10;"manhattan";30;5;0,97;0,9;0,93;97
"2317";6;"brute";10;"manhattan";30;6;0,97;0,92;0,95;106
"2321";0;"auto";20;"manhattan";30;0;0,94;0,98;0,96;97
"2325";4;"auto";20;"manhattan";30;4;0,93;0,8;0,86;95
"2326";5;"auto";20;"manhattan";30;5;0,94;0,91;0,92;97
"2327";6;"auto";20;"manhattan";30;6;0,97;0,91;0,94;106
"2331";0;"ball_tree";20;"manhattan";30;0;0,94;0,98;0,96;97
"2334";3;"ball_tree";20;"manhattan";30;3;0,89;0,93;0,91;103
"2335";4;"ball_tree";20;"manhattan";30;4;0,93;0,8;0,86;95
"2336";5;"ball_tree";20;"manhattan";30;5;0,94;0,91;0,92;97
"2337";6;"ball_tree";20;"manhattan";30;6;0,97;0,91;0,94;106
"2341";0;"kd_tree";20;"manhattan";30;0;0,94;0,98;0,96;97
"2345";4;"kd_tree";20;"manhattan";30;4;0,93;0,8;0,86;95
"2346";5;"kd_tree";20;"manhattan";30;5;0,94;0,91;0,92;97
"2347";6;"kd_tree";20;"manhattan";30;6;0,97;0,91;0,94;106
"2351";0;"brute";20;"manhattan";30;0;0,95;0,98;0,96;97
"2355";4;"brute";20;"manhattan";30;4;0,93;0,8;0,86;95
"2356";5;"brute";20;"manhattan";30;5;0,94;0,91;0,92;97
"2357";6;"brute";20;"manhattan";30;6;0,96;0,91;0,93;106
"2361";0;"auto";50;"manhattan";30;0;0,95;0,97;0,96;97
"2367";6;"auto";50;"manhattan";30;6;0,94;0,88;0,91;106
"2371";0;"ball_tree";50;"manhattan";30;0;0,95;0,97;0,96;97
"2377";6;"ball_tree";50;"manhattan";30;6;0,94;0,88;0,91;106
"2381";0;"kd_tree";50;"manhattan";30;0;0,95;0,97;0,96;97
"2387";6;"kd_tree";50;"manhattan";30;6;0,94;0,88;0,91;106
"2391";0;"brute";50;"manhattan";30;0;0,96;0,97;0,96;97
"2397";6;"brute";50;"manhattan";30;6;0,94;0,88;0,91;106
"2601";0;"auto";1;"euclidean";40;0;0,95;0,96;0,95;97
"2602";1;"auto";1;"euclidean";40;1;0,79;0,98;0,88;95
"2603";2;"auto";1;"euclidean";40;2;0,99;0,9;0,94;111
"2604";3;"auto";1;"euclidean";40;3;0,89;0,97;0,93;103
"2605";4;"auto";1;"euclidean";40;4;0,95;0,84;0,89;95
"2606";5;"auto";1;"euclidean";40;5;0,93;0,89;0,91;94
"2607";6;"auto";1;"euclidean";40;6;0,95;0,95;0,95;109
"2608";7;"auto";1;"euclidean";40;7;0,86;0,91;0,88;97
"2610";9;"auto";1;"euclidean";40;9;0,92;0,92;0,92;111
"2611";0;"ball_tree";1;"euclidean";40;0;0,95;0,96;0,95;97
"2612";1;"ball_tree";1;"euclidean";40;1;0,79;0,98;0,88;95
"2613";2;"ball_tree";1;"euclidean";40;2;0,99;0,9;0,94;111
"2614";3;"ball_tree";1;"euclidean";40;3;0,89;0,97;0,93;103
"2615";4;"ball_tree";1;"euclidean";40;4;0,95;0,84;0,89;95
"2616";5;"ball_tree";1;"euclidean";40;5;0,93;0,89;0,91;94
"2617";6;"ball_tree";1;"euclidean";40;6;0,95;0,95;0,95;109
"2618";7;"ball_tree";1;"euclidean";40;7;0,86;0,91;0,88;97
"2620";9;"ball_tree";1;"euclidean";40;9;0,92;0,92;0,92;111
"2621";0;"kd_tree";1;"euclidean";40;0;0,95;0,96;0,95;97
"2622";1;"kd_tree";1;"euclidean";40;1;0,79;0,98;0,88;95
"2623";2;"kd_tree";1;"euclidean";40;2;0,99;0,9;0,94;111
"2624";3;"kd_tree";1;"euclidean";40;3;0,89;0,97;0,93;103
"2625";4;"kd_tree";1;"euclidean";40;4;0,95;0,84;0,89;95
"2626";5;"kd_tree";1;"euclidean";40;5;0,93;0,89;0,91;94
"2627";6;"kd_tree";1;"euclidean";40;6;0,95;0,95;0,95;109
"2628";7;"kd_tree";1;"euclidean";40;7;0,86;0,91;0,88;97
"2630";9;"kd_tree";1;"euclidean";40;9;0,92;0,92;0,92;111
"2631";0;"brute";1;"euclidean";40;0;0,95;0,96;0,95;97
"2632";1;"brute";1;"euclidean";40;1;0,79;0,98;0,88;95
"2633";2;"brute";1;"euclidean";40;2;0,99;0,9;0,94;111
"2634";3;"brute";1;"euclidean";40;3;0,89;0,97;0,93;103
"2635";4;"brute";1;"euclidean";40;4;0,95;0,84;0,89;95
"2636";5;"brute";1;"euclidean";40;5;0,93;0,89;0,91;94
"2637";6;"brute";1;"euclidean";40;6;0,95;0,95;0,95;109
"2638";7;"brute";1;"euclidean";40;7;0,86;0,91;0,88;97
"2640";9;"brute";1;"euclidean";40;9;0,92;0,92;0,92;111
"2641";0;"auto";5;"euclidean";40;0;0,95;0,98;0,96;97
"2643";2;"auto";5;"euclidean";40;2;0,99;0,89;0,94;111
"2644";3;"auto";5;"euclidean";40;3;0,88;0,95;0,92;103
"2645";4;"auto";5;"euclidean";40;4;0,93;0,86;0,9;95
"2646";5;"auto";5;"euclidean";40;5;0,96;0,91;0,93;94
"2647";6;"auto";5;"euclidean";40;6;0,97;0,94;0,96;109
"2648";7;"auto";5;"euclidean";40;7;0,88;0,89;0,88;97
